Time,Southern Oscillation Index,NINO3 SST
1866.002894179598,-0.62,
1866.0877693668122,-0.12,
1866.1644308262314,-0.62,
1866.2493060134457,-0.65,
1866.331443291395,0.04,
1866.4163184786094,-0.82,
1866.4984557565585,-0.34,
1866.5833309437728,0.36,
1866.668206130987,-0.18,
1866.7503434089363,0.07,
1866.8352185961505,1.1,
1866.9173558741,-0.16,
1867.0022310613142,0.09,
1867.0871062485285,-0.01,
1867.1637677079477,-0.09,
1867.248642895162,0.83,
1867.3307801731112,0.5,
1867.4156553603254,-0.48,
1867.4977926382749,0.44,
1867.5826678254891,0.34,
1867.6675430127034,0.12,
1867.7496802906526,-0.56,
1867.8345554778668,-0.65,
1867.9166927558163,-0.89,
1868.0015679430305,-0.16,
1868.0864431302448,-0.34,
1868.165842498929,-1.56,
1868.2507176861432,0.3,
1868.3328549640926,-1.34,
1868.4177301513068,-2.2,
1868.499867429256,-0.4,
1868.5847426164703,-1.41,
1868.6696178036846,-1.23,
1868.751755081634,-1.24,
1868.8366302688482,-1.49,
1868.9187675467974,0.52,
1869.0036427340117,-1.9,
1869.088517921226,-0.26,
1869.1651793806452,-0.59,
1869.2500545678595,2.12,
1869.332191845809,1.4,
1869.4170670330232,1.53,
1869.4992043109723,1.42,
1869.5840794981866,0.94,
1869.6689546854009,0.12,
1869.75109196335,0.85,
1869.8359671505643,0.56,
1869.9181044285137,0.42,
1870.002979615728,1.06,
1870.0878548029423,0.18,
1870.1645162623615,-0.75,
1870.2493914495758,0.47,
1870.331528727525,-0.11,
1870.4164039147392,-1.1,
1870.4985411926887,0.17,
1870.583416379903,0.98,
1870.6682915671172,0.0,
1870.7504288450664,-0.58,
1870.8353040322806,-0.86,
1870.91744131023,-1.29,
1871.0,,-0.35825
1871.0023164974443,-1.13,
1871.083333,,-0.2924584
1871.0871916846584,-0.13,
1871.1638531440778,-2.0,
1871.166667,,-0.1435833
1871.248728331292,-0.46,
1871.25,,-0.149625
1871.3308656092413,-0.47,
1871.333333,,-0.27425
1871.4157407964556,0.24,
1871.416667,,-0.3724167
1871.497878074405,0.31,
1871.5,,-0.2715
1871.5827532616192,0.38,
1871.583333,,-0.3378333
1871.666667,,-0.175625
1871.6676284488335,0.58,
1871.7497657267827,-0.14,
1871.75,,-0.052208334
1871.833333,,-0.005000001
1871.834640913997,-0.02,
1871.916667,,-0.218875
1871.9167781919462,0.97,
1872.0,,-0.5075001
1872.0016533791604,2.69,
1872.083333,,-0.533375
1872.0865285663747,1.12,
1872.165927935059,1.69,
1872.166667,,-0.5465834
1872.25,,-0.598875
1872.2508031222733,-0.54,
1872.3329404002227,1.35,
1872.333333,,-0.6535
1872.416667,,-0.5886667
1872.417815587437,2.45,
1872.4999528653861,2.3,
1872.5,,-0.5147501
1872.583333,,-0.6217501
1872.5848280526004,0.99,
1872.666667,,-1.00625
1872.6697032398147,3.14,
1872.75,,-0.9237084
1872.7518405177639,1.9,
1872.833333,,-0.8687084
1872.8367157049781,3.09,
1872.916667,,-0.783375
1872.9188529829275,2.8,
1873.0,,-0.7317083
1873.0037281701418,2.47,
1873.083333,,-0.8480834
1873.088603357356,1.12,
1873.1652648167753,1.63,
1873.166667,,-0.8297084
1873.25,,-0.6962501
1873.2501400039896,2.29,
1873.3322772819388,1.19,
1873.333333,,-0.4467084
1873.416667,,-0.3306667
1873.417152469153,-3.09,
1873.4992897471025,-1.14,
1873.5,,-0.151875
1873.583333,,-0.3927917
1873.5841649343167,-0.59,
1873.666667,,-0.3576667
1873.669040121531,-2.13,
1873.75,,-0.6431251
1873.7511773994802,-1.78,
1873.833333,,-1.021875
1873.8360525866944,-0.36,
1873.916667,,-1.1575
1873.9181898646439,1.33,
1874.0,,-0.977125
1874.003065051858,0.9,
1874.083333,,-1.094875
1874.0879402390722,-0.28,
1874.1646016984917,-0.52,
1874.166667,,-0.9694167
1874.249476885706,0.98,
1874.25,,-0.838
1874.331614163655,1.29,
1874.333333,,-0.7487084
1874.4164893508694,-1.92,
1874.416667,,-0.7400834
1874.4986266288188,-0.14,
1874.5,,-0.8526251
1874.583333,,-1.169375
1874.583501816033,0.75,
1874.666667,,-1.00825
1874.668377003247,2.03,
1874.75,,-1.027667
1874.7505142811965,2.19,
1874.833333,,-1.241292
1874.8353894684108,0.53,
1874.916667,,-0.78575
1874.91752674636,1.28,
1875.0,,-0.5002084
1875.0024019335742,0.65,
1875.083333,,-0.7718334
1875.0872771207885,-0.11,
1875.163938580208,-1.0,
1875.166667,,-0.4692917
1875.2488137674222,1.4,
1875.25,,-0.7503334
1875.3309510453714,0.75,
1875.333333,,-0.6111667
1875.4158262325857,2.57,
1875.416667,,-0.5960833
1875.4979635105349,-0.49,
1875.5,,-0.4154584
1875.5828386977491,-0.21,
1875.583333,,-0.7095
1875.666667,,-0.5875417
1875.6677138849634,0.83,
1875.7498511629128,0.93,
1875.75,,-0.87975
1875.833333,,-0.7973334
1875.834726350127,-1.54,
1875.916667,,-0.64225
1875.9168636280763,-0.54,
1876.0,,-0.9426667
1876.0017388152905,1.16,
1876.083333,,-0.9870834
1876.0866140025048,0.98,
1876.1660133711891,-0.1,
1876.166667,,-0.9531251
1876.25,,-0.9444584
1876.2508885584034,0.94,
1876.3330258363526,0.75,
1876.333333,,-0.48925
1876.416667,,-0.2585834
1876.4179010235669,1.98,
1876.5,,-0.022625001
1876.5000383015163,-0.51,
1876.583333,,-0.039333332
1876.5849134887305,1.08,
1876.666667,,-0.065291673
1876.6697886759448,0.98,
1876.75,,0.4621667
1876.751925953894,-1.0,
1876.833333,,0.44225
1876.8368011411083,-0.46,
1876.916667,,0.3955834
1876.9189384190574,-0.45,
1877.0,,0.6929584
1877.0038136062717,-0.88,
1877.083333,,0.644125
1877.088688793486,-1.44,
1877.1653502529055,-1.07,
1877.166667,,0.7826667
1877.25,,1.152708
1877.2502254401197,-3.87,
1877.332362718069,-1.71,
1877.333333,,1.144458
1877.416667,,1.700083
1877.4172379052832,-4.34,
1877.4993751832326,-0.96,
1877.5,,1.855333
1877.583333,,2.149458
1877.5842503704466,-1.06,
1877.666667,,2.492959
1877.669125557661,-1.71,
1877.75,,2.531792
1877.7512628356103,-1.7,
1877.833333,,2.617208
1877.8361380228246,-1.31,
1877.916667,,2.767667
1877.9182753007738,-1.52,
1878.0,,2.706458
1878.003150487988,-0.98,
1878.083333,,2.489792
1878.0880256752023,-2.22,
1878.1646871346218,-1.86,
1878.166667,,2.063375
1878.2495623218358,-1.07,
1878.25,,1.616333
1878.3316995997852,0.1,
1878.333333,,1.422458
1878.4165747869995,-0.59,
1878.416667,,1.187625
1878.4987120649487,1.6,
1878.5,,0.8755417
1878.583333,,0.4312917
1878.583587252163,1.12,
1878.666667,,-0.079916663
1878.6684624393772,1.7,
1878.75,,-0.3452917
1878.7505997173266,0.94,
1878.833333,,-0.3299583
1878.835474904541,1.39,
1878.916667,,-0.3771667
1878.91761218249,1.89,
1879.0,,-0.085000001
1879.0024873697043,1.28,
1879.083333,,0.125875
1879.0873625569186,1.33,
1879.1640240163379,1.3,
1879.166667,,-0.037000004
1879.2488992035521,1.59,
1879.25,,-0.050875004
1879.3310364815015,0.1,
1879.333333,,-0.064750001
1879.4159116687158,1.85,
1879.416667,,-0.211625
1879.498048946665,2.19,
1879.5,,-0.340875
1879.5829241338793,2.2,
1879.583333,,-0.7759584
1879.666667,,-0.5237917
1879.6677993210935,1.8,
1879.7499365990427,1.53,
1879.75,,-0.5384583
1879.833333,,-0.6566667
1879.834811786257,0.76,
1879.916667,,-0.9757084
1879.9169490642064,-0.71,
1880.0,,-1.141333
1880.0018242514207,1.14,
1880.083333,,-0.3616667
1880.086699438635,0.7,
1880.1660988073193,1.43,
1880.166667,,-0.1692917
1880.25,,-0.081583336
1880.2509739945335,0.79,
1880.3331112724827,1.22,
1880.333333,,-0.120875
1880.416667,,-0.2335833
1880.417986459697,0.97,
1880.5,,-0.4069167
1880.5001237376462,0.21,
1880.583333,,-0.106875
1880.5849989248604,1.26,
1880.666667,,0.198125
1880.6698741120747,0.73,
1880.75,,0.4769167
1880.752011390024,0.56,
1880.833333,,0.3572083
1880.8368865772384,0.74,
1880.916667,,0.441
1880.9190238551876,-0.33,
1881.0,,0.424375
1881.0038990424018,-0.84,
1881.083333,,0.2991667
1881.088774229616,-0.67,
1881.1654356890353,0.02,
1881.166667,,0.3142917
1881.25,,0.4110417
1881.2503108762496,0.43,
1881.332448154199,-0.56,
1881.333333,,0.3185
1881.416667,,0.120375
1881.4173233414133,-0.78,
1881.4994606193625,-0.51,
1881.5,,-0.039375
1881.583333,,0.093166672
1881.5843358065767,-1.39,
1881.666667,,0.010208331
1881.669210993791,-1.35,
1881.75,,-0.1216667
1881.7513482717404,-2.6,
1881.833333,,-0.3246667
1881.8362234589547,0.49,
1881.916667,,-0.3718334
1881.9183607369039,0.7,
1882.0,,-0.4365
1882.0032359241181,-0.76,
1882.083333,,-0.3974583
1882.0881111113324,-0.26,
1882.1647725707517,0.41,
1882.166667,,-0.2572917
1882.249647757966,-0.06,
1882.25,,-0.1872917
1882.3317850359153,0.35,
1882.333333,,-0.3114583
1882.4166602231296,-1.75,
1882.416667,,-0.772375
1882.4987975010788,-2.13,
1882.5,,-0.9150833
1882.583333,,-0.6934167
1882.583672688293,-2.74,
1882.666667,,-0.3923334
1882.6685478755073,-1.44,
1882.75,,-0.5960417
1882.7506851534565,-0.09,
1882.833333,,-0.71075
1882.8355603406708,0.21,
1882.916667,,-0.63225
1882.9176976186202,1.04,
1883.0,,-0.5949167
1883.0025728058345,0.48,
1883.083333,,-0.4695417
1883.0874479930487,-0.95,
1883.164109452468,-2.94,
1883.166667,,-0.059458334
1883.2489846396822,1.63,
1883.25,,0.1316667
1883.3311219176314,1.47,
1883.333333,,0.1386667
1883.4159971048457,0.26,
1883.416667,,0.1852083
1883.4981343827951,-1.01,
1883.5,,0.232125
1883.5830095700094,0.06,
1883.583333,,0.2109167
1883.666667,,0.088708334
1883.6678847572236,-0.81,
1883.75,,-0.1018333
1883.7500220351728,0.36,
1883.833333,,0.052208338
1883.834897222387,0.19,
1883.916667,,-0.172625
1883.9170345003365,-1.77,
1884.0,,-0.2718334
1884.0019096875508,-1.4,
1884.083333,,-0.246375
1884.086784874765,-0.61,
1884.1661842434492,0.88,
1884.166667,,0.100625
1884.25,,0.518
1884.2510594306634,-1.6,
1884.3331967086128,0.18,
1884.333333,,0.463625
1884.416667,,0.2621667
1884.418071895827,0.98,
1884.5,,0.2916667
1884.5002091737763,-0.28,
1884.583333,,0.4677917
1884.5850843609905,-0.63,
1884.666667,,0.4278334
1884.6699595482048,-0.7,
1884.75,,0.7608334
1884.7520968261542,0.38,
1884.833333,,0.751875
1884.8369720133685,-0.26,
1884.916667,,0.8725833
1884.9191092913177,-1.5,
1885.0,,0.7250001
1885.003984478532,-1.78,
1885.083333,,0.2949167
1885.0888596657462,0.04,
1885.1655211251655,0.39,
1885.166667,,0.4200417
1885.25,,0.3786667
1885.2503963123797,0.16,
1885.3325335903291,0.01,
1885.333333,,0.16825
1885.416667,,0.1327917
1885.4174087775434,-1.91,
1885.4995460554926,-0.45,
1885.5,,-0.04025
1885.583333,,0.1744583
1885.5844212427069,-1.13,
1885.666667,,0.5649583
1885.6692964299211,-0.43,
1885.75,,0.7364167
1885.7514337078703,-1.92,
1885.833333,,0.7877501
1885.8363088950846,-1.55,
1885.916667,,0.6388751
1885.918446173034,0.47,
1886.0,,0.071375005
1886.0033213602483,-0.22,
1886.083333,,-0.4070834
1886.0881965474625,0.0,
1886.1648580068818,0.15,
1886.166667,,-0.3071667
1886.249733194096,0.49,
1886.25,,-0.3339584
1886.3318704720452,0.54,
1886.333333,,-0.5292084
1886.416667,,-0.9582917
1886.4167456592595,0.43,
1886.498882937209,0.74,
1886.5,,-0.9317084
1886.583333,,-0.8658334
1886.5837581244232,1.33,
1886.666667,,-0.66
1886.6686333116374,1.28,
1886.75,,-0.9444167
1886.7507705895866,1.3,
1886.833333,,-0.9131667
1886.835645776801,0.88,
1886.916667,,-1.1235
1886.9177830547503,1.51,
1887.0,,-0.9293334
1887.0026582419646,1.2,
1887.083333,,-0.8668334
1887.0875334291788,0.95,
1887.164194888598,0.95,
1887.166667,,-0.668875
1887.2490700758124,1.0,
1887.25,,-0.5621667
1887.3312073537616,-0.58,
1887.333333,,-0.1482917
1887.4160825409758,0.46,
1887.416667,,-0.018666666
1887.4982198189252,0.53,
1887.5,,-0.004416665
1887.5830950061395,0.33,
1887.583333,,-0.3265834
1887.666667,,-0.013166666
1887.6679701933538,0.45,
1887.75,,0.003291665
1887.750107471303,0.51,
1887.833333,,0.2019167
1887.8349826585172,-0.63,
1887.916667,,0.29225
1887.9171199364664,0.45,
1888.0,,0.5075834
1888.0019951236807,-0.32,
1888.083333,,0.6724584
1888.086870310895,-0.33,
1888.1662696795793,-1.47,
1888.166667,,0.5879584
1888.25,,0.4784167
1888.2511448667935,-2.8,
1888.333282144743,-1.12,
1888.333333,,0.8720834
1888.416667,,0.8656251
1888.4181573319572,-2.16,
1888.5,,0.8955417
1888.5002946099064,-1.64,
1888.583333,,0.9285834
1888.5851697971207,-1.09,
1888.666667,,1.491667
1888.670044984335,-0.94,
1888.75,,1.800875
1888.7521822622841,-1.61,
1888.833333,,1.976417
1888.8370574494984,-1.37,
1888.916667,,2.133417
1888.9191947274478,-0.4,
1889.0,,2.080333
1889.004069914662,-2.84,
1889.083333,,1.609333
1889.0889451018763,-0.21,
1889.1656065612956,-3.2,
1889.166667,,1.285208
1889.25,,0.9745001
1889.2504817485099,0.07,
1889.332619026459,-0.19,
1889.333333,,0.7251667
1889.416667,,0.213875
1889.4174942136733,2.49,
1889.4996314916227,0.18,
1889.5,,-0.2727083
1889.583333,,-0.9476667
1889.584506678837,0.05,
1889.666667,,-0.734125
1889.6693818660513,1.05,
1889.75,,-1.057833
1889.7515191440004,0.29,
1889.833333,,-1.149708
1889.8363943312147,1.92,
1889.916667,,-1.107625
1889.9185316091641,2.35,
1890.0,,-1.387458
1890.0034067963782,2.16,
1890.083333,,-0.8440834
1890.0882819835924,1.03,
1890.164943443012,1.43,
1890.166667,,-0.8429584
1890.2498186302262,0.75,
1890.25,,-0.5572917
1890.3319559081754,0.35,
1890.333333,,-0.4417084
1890.416667,,-0.573
1890.4168310953896,0.45,
1890.498968373339,-0.23,
1890.5,,-0.6245
1890.583333,,-0.6909584
1890.5838435605533,-0.42,
1890.666667,,-0.630625
1890.6687187477676,0.88,
1890.75,,-0.972875
1890.7508560257168,0.17,
1890.833333,,-0.8632084
1890.835731212931,0.16,
1890.916667,,-0.2230833
1890.9178684908802,-0.04,
1891.0,,0.008083332
1891.0027436780945,1.56,
1891.083333,,0.1995
1891.0876188653087,-0.49,
1891.1642803247282,-1.22,
1891.166667,,0.1517917
1891.2491555119425,0.7,
1891.25,,0.5333334
1891.3312927898917,0.28,
1891.333333,,0.6607917
1891.416167977106,-0.28,
1891.416667,,0.6017917
1891.4983052550551,-0.58,
1891.5,,0.4714167
1891.5831804422694,-1.2,
1891.583333,,0.3405834
1891.666667,,-0.080291674
1891.6680556294837,-1.08,
1891.75,,0.081125006
1891.750192907433,0.05,
1891.833333,,0.1595833
1891.8350680946473,-0.49,
1891.916667,,-0.014874998
1891.9172053725965,-0.62,
1892.0,,0.016916668
1892.0020805598108,0.2,
1892.083333,,-0.042416666
1892.086955747025,-1.13,
1892.1663551157094,1.09,
1892.166667,,-0.1315833
1892.25,,-0.3770834
1892.2512303029237,0.96,
1892.333333,,-0.427375
1892.3333675808728,1.37,
1892.416667,,-0.6754584
1892.418242768087,2.25,
1892.5,,-0.8216251
1892.5003800460365,0.78,
1892.583333,,-0.9602084
1892.5852552332508,0.48,
1892.666667,,-1.269583
1892.670130420465,0.01,
1892.75,,-1.720042
1892.7522676984142,0.85,
1892.833333,,-1.53575
1892.8371428856285,-0.88,
1892.916667,,-1.372083
1892.9192801635777,0.3,
1893.0,,-1.338
1893.004155350792,0.91,
1893.083333,,-1.46625
1893.0890305380062,0.65,
1893.1656919974257,0.32,
1893.166667,,-1.1235
1893.25,,-1.090375
1893.25056718464,1.44,
1893.3327044625892,1.76,
1893.333333,,-1.163208
1893.416667,,-1.078
1893.4175796498034,2.15,
1893.4997169277528,1.88,
1893.5,,-0.8739167
1893.583333,,-0.8139584
1893.5845921149669,0.6,
1893.666667,,-0.7962084
1893.6694673021811,1.21,
1893.75,,-0.8024583
1893.7516045801306,0.63,
1893.833333,,-0.787375
1893.8364797673448,0.83,
1893.916667,,-0.6128334
1893.918617045294,-0.5,
1894.0,,-0.7223334
1894.0034922325083,2.15,
1894.083333,,-0.7022917
1894.0883674197225,0.97,
1894.165028879142,0.82,
1894.166667,,-0.7405417
1894.2499040663563,1.1,
1894.25,,-0.544875
1894.3320413443055,-0.86,
1894.333333,,-0.5567917
1894.416667,,-0.2485417
1894.4169165315197,-0.01,
1894.499053809469,0.47,
1894.5,,-0.1227083
1894.583333,,-0.3525833
1894.5839289966832,-1.4,
1894.666667,,-0.19175
1894.6688041838975,-0.24,
1894.75,,-0.3084584
1894.7509414618469,0.31,
1894.833333,,-0.257
1894.8358166490611,-0.89,
1894.916667,,-0.4374584
1894.9179539270103,0.07,
1895.0,,-0.29525
1895.0028291142246,0.54,
1895.083333,,-0.3299583
1895.0877043014389,0.62,
1895.1643657608581,-0.26,
1895.166667,,-0.036875002
1895.2492409480724,1.34,
1895.25,,0.1225417
1895.3313782260218,0.65,
1895.333333,,0.2082084
1895.416253413236,-1.26,
1895.416667,,0.071833342
1895.4983906911853,-0.75,
1895.5,,0.034249999
1895.5832658783995,-1.02,
1895.583333,,0.1906667
1895.666667,,0.5338334
1895.6681410656138,-0.52,
1895.75,,0.4949583
1895.750278343563,-0.82,
1895.833333,,0.8026667
1895.8351535307772,-0.47,
1895.916667,,0.6525834
1895.9172908087266,-1.0,
1896.0,,0.4958333
1896.002165995941,0.07,
1896.083333,,0.4000417
1896.0870411831552,0.37,
1896.1664405518395,-0.84,
1896.166667,,0.4307083
1896.25,,0.3883334
1896.2513157390538,-1.19,
1896.333333,,0.3617917
1896.333453017003,-3.23,
1896.416667,,0.4791667
1896.4183282042172,-2.99,
1896.5,,0.8193334
1896.5004654821664,-1.39,
1896.583333,,1.329792
1896.5853406693807,-2.55,
1896.666667,,1.171667
1896.670215856595,-1.88,
1896.75,,1.297125
1896.7523531345444,-2.01,
1896.833333,,1.748625
1896.8372283217586,-1.26,
1896.916667,,2.118833
1896.9193655997078,-1.69,
1897.0,,1.829625
1897.004240786922,-1.42,
1897.083333,,1.48775
1897.0891159741363,-0.86,
1897.1657774335556,-2.01,
1897.166667,,0.8815417
1897.25,,0.4305
1897.2506526207699,-2.0,
1897.3327898987193,-1.59,
1897.333333,,0.2119583
1897.416667,,0.096708342
1897.4176650859335,-0.16,
1897.4998023638827,-0.19,
1897.5,,0.053416669
1897.583333,,-0.176
1897.584677551097,-0.11,
1897.666667,,-0.033958334
1897.6695527383113,0.0,
1897.75,,-0.2251667
1897.7516900162607,0.1,
1897.833333,,-0.44
1897.836565203475,-0.96,
1897.916667,,-0.3957084
1897.9187024814241,1.04,
1898.0,,-0.2940833
1898.0035776686384,0.65,
1898.083333,,-0.4296667
1898.0884528558527,0.47,
1898.165114315272,2.02,
1898.166667,,-0.491375
1898.2499895024862,1.34,
1898.25,,-0.1282083
1898.3321267804356,-0.11,
1898.333333,,-0.178375
1898.416667,,-0.2380833
1898.4170019676499,-0.51,
1898.499139245599,0.65,
1898.5,,-0.38575
1898.583333,,-0.5320417
1898.5840144328133,0.72,
1898.666667,,-0.4879167
1898.6688896200276,0.88,
1898.75,,-0.5490834
1898.7510268979768,0.34,
1898.833333,,-0.6995834
1898.835902085191,0.02,
1898.916667,,-0.7157084
1898.9180393631405,0.42,
1899.0,,-0.5652917
1899.0029145503547,1.31,
1899.083333,,-0.3799584
1899.087789737569,0.87,
1899.1644511969882,1.38,
1899.166667,,-0.1103333
1899.2493263842025,0.49,
1899.25,,0.2863334
1899.3314636621517,-0.76,
1899.333333,,0.5398334
1899.416338849366,-1.43,
1899.416667,,0.604625
1899.4984761273154,-0.53,
1899.5,,0.7571667
1899.583333,,1.064542
1899.5833513145296,-1.18,
1899.666667,,1.128333
1899.668226501744,-0.19,
1899.75,,1.298375
1899.750363779693,0.74,
1899.833333,,1.327333
1899.8352389669074,1.66,
1899.916667,,1.540083
1899.9173762448568,-0.44,
1900.0,,1.431417
1900.002251432071,-0.89,
1900.083333,,1.351583
1900.0871266192853,-0.73,
1900.1637880787046,-2.95,
1900.166667,,1.038333
1900.2486632659188,-2.1,
1900.25,,1.026667
1900.330800543868,-0.76,
1900.333333,,0.9553334
1900.4156757310823,3.1,
1900.416667,,0.8507084
1900.4978130090317,1.02,
1900.5,,0.7727084
1900.582688196246,0.75,
1900.583333,,0.622875
1900.666667,,0.4963334
1900.6675633834602,-1.61,
1900.7497006614094,-2.13,
1900.75,,0.5059167
1900.833333,,0.2985
1900.8345758486237,-0.75,
1900.916667,,0.5063334
1900.9167131265729,-0.73,
1901.0,,0.327375
1901.0015883137871,-0.09,
1901.083333,,0.136125
1901.0864635010014,0.21,
1901.1631249604209,0.88,
1901.166667,,-0.112375
1901.2480001476351,0.64,
1901.25,,0.012583335
1901.3301374255843,0.08,
1901.333333,,-0.098666668
1901.4150126127986,2.3,
1901.416667,,-0.2424167
1901.4971498907478,1.51,
1901.5,,-0.394125
1901.582025077962,0.8,
1901.583333,,-0.31425
1901.666667,,-0.2810833
1901.6669002651763,-1.58,
1901.7490375431257,-2.69,
1901.75,,-0.098124996
1901.833333,,-0.093250006
1901.83391273034,-0.95,
1901.9160500082892,-0.32,
1901.916667,,-0.001625003
1902.0,,0.2580833
1902.0009251955034,1.68,
1902.083333,,0.4116667
1902.0858003827177,-0.28,
1902.162461842137,1.1,
1902.166667,,0.491125
1902.2473370293512,1.15,
1902.25,,0.6415
1902.3294743073006,1.41,
1902.333333,,0.8915833
1902.414349494515,0.24,
1902.416667,,1.180208
1902.496486772464,0.21,
1902.5,,1.549333
1902.5813619596784,-1.09,
1902.583333,,1.597583
1902.6662371468926,-1.76,
1902.666667,,1.634208
1902.748374424842,-0.77,
1902.75,,1.550208
1902.8332496120563,-0.26,
1902.833333,,1.778667
1902.9153868900055,-0.45,
1902.916667,,1.554833
1903.0,,1.133708
1903.0002620772198,-1.1,
1903.083333,,0.8522917
1903.085137264434,-1.11,
1903.1617987238533,1.8,
1903.166667,,0.5903333
1903.2466739110675,2.18,
1903.25,,0.23875
1903.328811189017,0.92,
1903.333333,,-0.022041667
1903.4136863762312,-0.22,
1903.416667,,-0.297875
1903.4958236541804,0.6,
1903.5,,-0.4165
1903.5806988413947,-0.15,
1903.583333,,-0.4931667
1903.665574028609,0.81,
1903.666667,,-0.570875
1903.7477113065581,0.3,
1903.75,,-0.5977917
1903.8325864937724,-0.05,
1903.833333,,-0.7731667
1903.9147237717218,1.66,
1903.916667,,-0.9750417
1903.999598958936,1.39,
1904.0,,-0.6440833
1904.083333,,-0.428
1904.0844741461503,1.53,
1904.1638735148347,0.89,
1904.166667,,-0.2572083
1904.248748702049,3.64,
1904.25,,0.010875
1904.3308859799981,1.0,
1904.333333,,0.2477084
1904.4157611672124,-1.01,
1904.416667,,0.3547917
1904.4978984451616,-0.87,
1904.5,,0.6286667
1904.5827736323758,-0.11,
1904.583333,,0.7090834
1904.666667,,0.5278333
1904.66764881959,-0.01,
1904.7497860975395,-0.11,
1904.75,,0.7075
1904.833333,,0.7598334
1904.8346612847538,-1.81,
1904.916667,,0.9316251
1904.916798562703,0.18,
1905.0,,1.019167
