Date, SOI from CRU  missing value -99.99 https://psl.noaa.gov/data/timeseries/month/
1945-09-01,0.8
1945-10-01,0.21
1945-11-01,-0.45
1945-12-01,0.63
1946-01-01,-0.32
1946-02-01,0.29
1946-03-01,-0.38
1946-04-01,-1.03
1946-05-01,-1.19
1946-06-01,-1.32
1946-07-01,-0.99
1946-08-01,-0.64
1946-09-01,-1.58
1946-10-01,-1.38
1946-11-01,-0.25
1946-12-01,-0.71
1947-01-01,-0.63
1947-02-01,-0.56
1947-03-01,1.13
1947-04-01,-0.56
1947-05-01,-1.24
1947-06-01,0.16
1947-07-01,0.98
1947-08-01,0.66
1947-09-01,1.1
1947-10-01,-0.35
1947-11-01,0.75
1947-12-01,0.47
1948-01-01,-0.43
1948-02-01,-0.41
1948-03-01,-0.6
1948-04-01,0.26
1948-05-01,0.35
1948-06-01,-0.76
1948-07-01,0.1
1948-08-01,-0.55
1948-09-01,-0.76
1948-10-01,0.54
1948-11-01,0.19
1948-12-01,-0.72
1949-01-01,-0.86
1949-02-01,0.05
1949-03-01,0.49
1949-04-01,0.28
1949-05-01,-0.68
1949-06-01,-1.6
1949-07-01,-0.15
1949-08-01,-0.64
1949-09-01,0.17
1949-10-01,0.38
1949-11-01,-0.77
1949-12-01,0.77
1950-01-01,0.54
1950-02-01,1.58
1950-03-01,1.79
1950-04-01,1.67
1950-05-01,0.55
1950-06-01,3.06
1950-07-01,2.14
1950-08-01,1.14
1950-09-01,0.63
1950-10-01,1.68
1950-11-01,0.89
1950-12-01,2.46
1951-01-01,1.32
1951-02-01,0.47
1951-03-01,-0.71
1951-04-01,-1.03
1951-05-01,-1.29
1951-06-01,-0.52
1951-07-01,-1.33
1951-08-01,-0.75
1951-09-01,-1.17
1951-10-01,-1.44
1951-11-01,-0.98
1951-12-01,-0.9
1952-01-01,-0.92
1952-02-01,-0.83
1952-03-01,-0.02
1952-04-01,-0.73
1952-05-01,0.67
1952-06-01,0.78
1952-07-01,0.51
1952-08-01,-0.38
1952-09-01,-0.24
1952-10-01,0.12
1952-11-01,-0.22
1952-12-01,-1.4
1953-01-01,0.12
1953-02-01,-0.72
1953-03-01,-0.79
1953-04-01,-0.18
1953-05-01,-2.72
1953-06-01,-0.47
1953-07-01,-0.06
1953-08-01,-1.89
1953-09-01,-1.35
1953-10-01,-0.18
1953-11-01,-0.36
1953-12-01,-0.61
1954-01-01,0.57
1954-02-01,-0.52
1954-03-01,-0.31
1954-04-01,0.41
1954-05-01,0.15
1954-06-01,-0.49
1954-07-01,0.36
1954-08-01,0.9
1954-09-01,0.17
1954-10-01,0.09
1954-11-01,0.16
1954-12-01,1.31
1955-01-01,-0.68
1955-02-01,1.3
1955-03-01,0.13
1955-04-01,-0.81
1955-05-01,0.88
1955-06-01,1.63
1955-07-01,1.8
1955-08-01,1.38
1955-09-01,1.4
1955-10-01,1.51
1955-11-01,1.38
1955-12-01,0.91
1956-01-01,1.16
1956-02-01,1.1
1956-03-01,0.89
1956-04-01,1.06
1956-05-01,1.44
1956-06-01,1.26
1956-07-01,1.19
1956-08-01,1.05
1956-09-01,0.06
1956-10-01,1.92
1956-11-01,0.11
1956-12-01,0.99
1957-01-01,0.43
1957-02-01,-0.36
1957-03-01,-0.37
1957-04-01,0.05
1957-05-01,-1.18
1957-06-01,-0.37
1957-07-01,0.18
1957-08-01,-1.08
1957-09-01,-1.01
1957-10-01,-0.09
1957-11-01,-1.23
1957-12-01,-0.44
1958-01-01,-1.89
1958-02-01,-0.78
1958-03-01,-0.32
1958-04-01,0.03
1958-05-01,-1.39
1958-06-01,-0.27
1958-07-01,0.23
1958-08-01,0.72
1958-09-01,-0.34
1958-10-01,-0.56
1958-11-01,-0.61
1958-12-01,-0.84
1959-01-01,-0.94
1959-02-01,-1.5
1959-03-01,0.77
1959-04-01,0.35
1959-05-01,0.14
1959-06-01,-0.96
1959-07-01,-0.47
1959-08-01,-0.68
1959-09-01,-0.01
1959-10-01,0.34
1959-11-01,0.9
1959-12-01,0.81
1960-01-01,-0.05
1960-02-01,-0.25
1960-03-01,0.47
1960-04-01,0.79
1960-05-01,0.3
1960-06-01,-0.47
1960-07-01,0.5
1960-08-01,0.53
1960-09-01,0.65
1960-10-01,-0.2
1960-11-01,0.6
1960-12-01,0.63
1961-01-01,-0.43
1961-02-01,0.58
1961-03-01,-2.47
1961-04-01,1.15
1961-05-01,0.18
1961-06-01,-0.53
1961-07-01,0.18
1961-08-01,-0.16
1961-09-01,0.11
1961-10-01,-0.73
1961-11-01,0.68
1961-12-01,1.31
1962-01-01,1.72
1962-02-01,-0.41
1962-03-01,-0.32
1962-04-01,0.3
1962-05-01,1.1
1962-06-01,0.37
1962-07-01,-0.04
1962-08-01,0.26
1962-09-01,0.53
1962-10-01,0.95
1962-11-01,0.27
1962-12-01,-0.1
1963-01-01,0.8
1963-02-01,0.26
1963-03-01,0.66
1963-04-01,0.51
1963-05-01,0.14
1963-06-01,-1.3
1963-07-01,-0.13
1963-08-01,-0.43
1963-09-01,-0.6
1963-10-01,-1.46
1963-11-01,-0.93
1963-12-01,-1.35
1964-01-01,-0.53
1964-02-01,-0.13
1964-03-01,0.71
1964-04-01,1.78
1964-05-01,-0.02
1964-06-01,0.72
1964-07-01,0.62
1964-08-01,1.32
1964-09-01,1.29
1964-10-01,1.26
1964-11-01,-0.06
1964-12-01,-0.49
1965-01-01,-0.52
1965-02-01,0.01
1965-03-01,0.24
1965-04-01,-1.34
1965-05-01,-0.03
1965-06-01,-1.63
1965-07-01,-2.32
1965-08-01,-1.37
1965-09-01,-1.41
1965-10-01,-1.22
1965-11-01,-1.86
1965-12-01,0.02
1966-01-01,-1.36
1966-02-01,-0.54
1966-03-01,-1.75
1966-04-01,-0.9
1966-05-01,-0.71
1966-06-01,0.14
1966-07-01,-0.15
1966-08-01,0.19
1966-09-01,-0.24
1966-10-01,-0.33
1966-11-01,-0.2
1966-12-01,-0.61
1967-01-01,1.52
1967-02-01,1.2
1967-03-01,0.65
1967-04-01,-0.12
1967-05-01,-0.41
1967-06-01,0.67
1967-07-01,0.18
1967-08-01,0.44
1967-09-01,0.44
1967-10-01,-0.17
1967-11-01,-0.57
1967-12-01,-0.78
1968-01-01,0.47
1968-02-01,0.77
1968-03-01,-0.56
1968-04-01,-0.31
1968-05-01,1.21
1968-06-01,1.27
1968-07-01,0.77
1968-08-01,-0.2
1968-09-01,-0.36
1968-10-01,-0.35
1968-11-01,-0.44
1968-12-01,0.13
1969-01-01,-1.36
1969-02-01,-0.85
1969-03-01,-0.03
1969-04-01,-0.9
1969-05-01,-0.78
1969-06-01,-0.24
1969-07-01,-0.73
1969-08-01,-0.71
1969-09-01,-1.1
1969-10-01,-1.35
1969-11-01,-0.18
1969-12-01,0.24
1970-01-01,-1.26
1970-02-01,-1.22
1970-03-01,0.06
1970-04-01,-0.56
1970-05-01,0.04
1970-06-01,1.02
1970-07-01,-0.52
1970-08-01,0.31
1970-09-01,1.18
1970-10-01,0.74
1970-11-01,1.85
1970-12-01,1.83
1971-01-01,0.23
1971-02-01,1.44
1971-03-01,1.98
1971-04-01,2.58
1971-05-01,0.88
1971-06-01,0.21
1971-07-01,0.17
1971-08-01,1.42
1971-09-01,1.51
1971-10-01,1.75
1971-11-01,0.55
1971-12-01,0.15
1972-01-01,0.33
1972-02-01,0.67
1972-03-01,0.13
1972-04-01,-0.46
1972-05-01,-1.52
1972-06-01,-1.68
1972-07-01,-1.84
1972-08-01,-1.12
1972-09-01,-1.48
1972-10-01,-1.13
1972-11-01,-0.38
1972-12-01,-1.47
1973-01-01,-0.43
1973-02-01,-1.47
1973-03-01,-0.06
1973-04-01,-0.37
1973-05-01,0.25
1973-06-01,1.22
1973-07-01,0.63
1973-08-01,1.18
1973-09-01,1.27
1973-10-01,0.85
1973-11-01,2.85
1973-12-01,1.76
1974-01-01,2.16
1974-02-01,1.49
1974-03-01,2.1
1974-04-01,1.27
1974-05-01,1.24
1974-06-01,0.14
1974-07-01,1.23
1974-08-01,0.56
1974-09-01,1.16
1974-10-01,0.72
1974-11-01,-0.42
1974-12-01,-0.14
1975-01-01,-0.62
1975-02-01,0.46
1975-03-01,1.14
1975-04-01,1.48
1975-05-01,0.51
1975-06-01,1.69
1975-07-01,2.13
1975-08-01,2.03
1975-09-01,2.15
1975-10-01,1.67
1975-11-01,1.25
1975-12-01,2.05
1976-01-01,1.19
1976-02-01,1.18
1976-03-01,1.33
1976-04-01,0.24
1976-05-01,0.5
1976-06-01,-0.16
1976-07-01,-1.24
1976-08-01,-1.46
1976-09-01,-1.29
1976-10-01,0.13
1976-11-01,0.76
1976-12-01,-0.48
1977-01-01,-0.39
1977-02-01,0.65
1977-03-01,-1.2
1977-04-01,-1.17
1977-05-01,-1.18
1977-06-01,-2.33
1977-07-01,-1.45
1977-08-01,-1.42
1977-09-01,-0.95
1977-10-01,-1.39
1977-11-01,-1.56
1977-12-01,-1.23
1978-01-01,-0.48
1978-02-01,-2.63
1978-03-01,-0.82
1978-04-01,-0.88
1978-05-01,1.5
1978-06-01,0.4
1978-07-01,0.53
1978-08-01,0.12
1978-09-01,0.06
1978-10-01,-0.76
1978-11-01,-0.28
1978-12-01,-0.21
1979-01-01,-0.45
1979-02-01,0.61
1979-03-01,-0.49
1979-04-01,-0.65
1979-05-01,0.46
1979-06-01,0.58
1979-07-01,-0.76
1979-08-01,-0.69
1979-09-01,0.11
1979-10-01,-0.37
1979-11-01,-0.61
1979-12-01,-0.9
1980-01-01,0.28
1980-02-01,-0.02
1980-03-01,-1.06
1980-04-01,-1.6
1980-05-01,-0.35
1980-06-01,-0.68
1980-07-01,-0.14
1980-08-01,-0.06
1980-09-01,-0.54
1980-10-01,-0.34
1980-11-01,-0.47
1980-12-01,-0.21
1981-01-01,0.27
1981-02-01,-0.47
1981-03-01,-2.01
1981-04-01,-0.6
1981-05-01,0.82
1981-06-01,1.28
1981-07-01,0.87
1981-08-01,0.4
1981-09-01,0.52
1981-10-01,-0.71
1981-11-01,0.07
1981-12-01,0.41
1982-01-01,0.87
1982-02-01,-0.03
1982-03-01,0.05
1982-04-01,-0.46
1982-05-01,-0.74
1982-06-01,-2.49
1982-07-01,-1.89
1982-08-01,-2.66
1982-09-01,-2.12
1982-10-01,-2.2
1982-11-01,-3.25
1982-12-01,-2.48
1983-01-01,-3.36
1983-02-01,-3.46
1983-03-01,-3.25
1983-04-01,-1.41
1983-05-01,0.79
1983-06-01,-0.58
1983-07-01,-0.7
1983-08-01,-0.37
1983-09-01,0.91
1983-10-01,0.34
1983-11-01,-0.12
1983-12-01,-0.17
1984-01-01,-0.03
1984-02-01,0.43
1984-03-01,-0.85
1984-04-01,0.39
1984-05-01,-0.03
1984-06-01,-1.22
1984-07-01,0.12
1984-08-01,0.1
1984-09-01,0.17
1984-10-01,-0.61
1984-11-01,0.12
1984-12-01,-0.24
1985-01-01,-0.55
1985-02-01,0.79
1985-03-01,0.2
1985-04-01,1.42
1985-05-01,-0.15
1985-06-01,-1.39
1985-07-01,-0.2
1985-08-01,0.66
1985-09-01,0
1985-10-01,-0.76
1985-11-01,-0.35
1985-12-01,0.12
1986-01-01,0.82
1986-02-01,-1.28
1986-03-01,-0.09
1986-04-01,0.11
1986-05-01,-0.63
1986-06-01,1.01
1986-07-01,0.24
1986-08-01,-0.85
1986-09-01,-0.53
1986-10-01,0.54
1986-11-01,-1.57
1986-12-01,-1.64
1987-01-01,-0.75
1987-02-01,-1.41
1987-03-01,-2.03
1987-04-01,-2.69
1987-05-01,-2.12
1987-06-01,-2.69
1987-07-01,-1.82
1987-08-01,-1.67
1987-09-01,-1.13
1987-10-01,-0.69
1987-11-01,-0.07
1987-12-01,-0.66
1988-01-01,-0.31
1988-02-01,-0.65
1988-03-01,0.13
1988-04-01,-0.03
1988-05-01,1.09
1988-06-01,-0.2
1988-07-01,1.17
1988-08-01,1.36
1988-09-01,1.92
1988-10-01,1.35
1988-11-01,1.92
1988-12-01,1.09
1989-01-01,1.31
1989-02-01,0.8
1989-03-01,0.59
1989-04-01,2.18
1989-05-01,1.45
1989-06-01,0.81
1989-07-01,0.95
1989-08-01,-0.82
1989-09-01,0.52
1989-10-01,0.61
1989-11-01,-0.38
1989-12-01,-0.62
1990-01-01,-0.21
1990-02-01,-1.79
1990-03-01,-1.09
1990-04-01,-0.01
1990-05-01,1.41
1990-06-01,-0.07
1990-07-01,0.57
1990-08-01,-0.71
1990-09-01,-0.78
1990-10-01,-0.17
1990-11-01,-0.68
1990-12-01,-0.38
1991-01-01,0.45
1991-02-01,-0.06
1991-03-01,-1.35
1991-04-01,-1.55
1991-05-01,-1.74
1991-06-01,-0.79
1991-07-01,-0.07
1991-08-01,-1.07
1991-09-01,-1.64
1991-10-01,-1.55
1991-11-01,-0.77
1991-12-01,-2.02
1992-01-01,-2.85
1992-02-01,-1.05
1992-03-01,-2.85
1992-04-01,-2.06
1992-05-01,0.06
1992-06-01,-1.82
1992-07-01,-0.63
1992-08-01,-0.01
1992-09-01,0.06
1992-10-01,-2.03
1992-11-01,-0.84
1992-12-01,-0.71
1993-01-01,-0.93
1993-02-01,-0.96
1993-03-01,-1.13
1993-04-01,-2.29
1993-05-01,-0.59
1993-06-01,-2.18
1993-07-01,-1.06
1993-08-01,-1.73
1993-09-01,-0.78
1993-10-01,-1.57
1993-11-01,-0.13
1993-12-01,0.07
1994-01-01,-0.25
1994-02-01,-0.06
1994-03-01,-1.35
1994-04-01,-2.63
1994-05-01,-1.26
1994-06-01,-1.46
1994-07-01,-1.7
1994-08-01,-2.03
1994-09-01,-1.7
1994-10-01,-1.58
1994-11-01,-0.81
1994-12-01,-1.41
1995-01-01,-0.51
1995-02-01,-0.35
1995-03-01,0.24
1995-04-01,-1.72
1995-05-01,-0.91
1995-06-01,-0.31
1995-07-01,0.44
1995-08-01,-0.11
1995-09-01,0.28
1995-10-01,-0.34
1995-11-01,-0.02
1995-12-01,-0.72
1996-01-01,0.82
1996-02-01,-0.02
1996-03-01,0.53
1996-04-01,0.91
1996-05-01,0.46
1996-06-01,1.6
1996-07-01,0.7
1996-08-01,0.33
1996-09-01,0.66
1996-10-01,0.26
1996-11-01,-0.21
1996-12-01,0.71
1997-01-01,0.29
1997-02-01,1.21
1997-03-01,-1.09
1997-04-01,-1.55
1997-05-01,-2.41
1997-06-01,-3.02
1997-07-01,-0.91
1997-08-01,-2.31
1997-09-01,-1.55
1997-10-01,-1.69
1997-11-01,-1.31
1997-12-01,-1.12
1998-01-01,-2.53
1998-02-01,-1.97
1998-03-01,-3.31
1998-04-01,-2.8
1998-05-01,0.17
1998-06-01,1.05
1998-07-01,1.49
1998-08-01,0.83
1998-09-01,1.04
1998-10-01,1.01
1998-11-01,1.01
1998-12-01,1.32
1999-01-01,1.58
1999-02-01,0.58
1999-03-01,0.78
1999-04-01,2.1
1999-05-01,0.44
1999-06-01,0
1999-07-01,0.52
1999-08-01,-0.03
1999-09-01,-0.07
1999-10-01,0.95
1999-11-01,1.22
1999-12-01,1.37
2000-01-01,0.47
2000-02-01,1.24
2000-03-01,0.88
2000-04-01,1.76
2000-05-01,0.42
2000-06-01,-0.87
2000-07-01,-0.34
2000-08-01,0.48
2000-09-01,0.97
2000-10-01,0.87
2000-11-01,2.02
2000-12-01,0.77
2001-01-01,0.78
2001-02-01,1
2001-03-01,0.46
2001-04-01,-0.18
2001-05-01,-0.84
2001-06-01,-0.19
2001-07-01,-0.27
2001-08-01,-1.01
2001-09-01,0.11
2001-10-01,-0.38
2001-11-01,0.64
2001-12-01,-1.06
2002-01-01,0.2
2002-02-01,0.64
2002-03-01,-0.81
2002-04-01,-0.48
2002-05-01,-1.54
2002-06-01,-1.02
2002-07-01,-0.7
2002-08-01,-1.62
2002-09-01,-0.66
2002-10-01,-0.79
2002-11-01,-0.6
2002-12-01,-1.3
2003-01-01,-0.3
2003-02-01,-0.9
2003-03-01,-0.91
2003-04-01,-0.48
2003-05-01,-0.85
2003-06-01,-1.75
2003-07-01,0.26
2003-08-01,-0.35
2003-09-01,-0.18
2003-10-01,-0.26
2003-11-01,-0.32
2003-12-01,0.92
2004-01-01,-1.31
2004-02-01,0.77
2004-03-01,-0.11
2004-04-01,-1.91
2004-05-01,1.22
2004-06-01,-1.91
2004-07-01,-0.72
2004-08-01,-0.9
2004-09-01,-0.31
2004-10-01,-0.42
2004-11-01,-1.06
2004-12-01,-0.94
2005-01-01,0.2
2005-02-01,-2.99
2005-03-01,-0.26
2005-04-01,-1.22
2005-05-01,-1.46
2005-06-01,0.11
2005-07-01,0.06
2005-08-01,-0.97
2005-09-01,0.34
2005-10-01,1.12
2005-11-01,-0.42
2005-12-01,0.01
2006-01-01,1.29
2006-02-01,-0.12
2006-03-01,1.32
2006-04-01,1.17
2006-05-01,-0.96
2006-06-01,-0.98
2006-07-01,-0.9
2006-08-01,-1.75
2006-09-01,-0.6
2006-10-01,-1.52
2006-11-01,0.05
2006-12-01,-0.39
2007-01-01,-0.83
2007-02-01,-0.38
2007-03-01,-0.3
2007-04-01,-0.35
2007-05-01,-0.3
2007-06-01,0.14
2007-07-01,-0.44
2007-08-01,0.01
2007-09-01,0.12
2007-10-01,0.44
2007-11-01,0.82
2007-12-01,1.49
2008-01-01,1.54
2008-02-01,2.05
2008-03-01,1.04
2008-04-01,0.56
2008-05-01,-0.25
2008-06-01,0.34
2008-07-01,0.2
2008-08-01,0.64
2008-09-01,1.26
2008-10-01,1.52
2008-11-01,1.64
2008-12-01,1.43
2009-01-01,0.85
2009-02-01,1.37
2009-03-01,-0.21
2009-04-01,1.06
2009-05-01,-0.86
2009-06-01,-0.45
2009-07-01,0.18
2009-08-01,-0.59
2009-09-01,0.35
2009-10-01,-1.66
2009-11-01,-0.67
2009-12-01,-0.95
2010-01-01,-1.13
2010-02-01,-1.59
2010-03-01,-1.4
2010-04-01,1.88
2010-05-01,0.85
2010-06-01,0.24
2010-07-01,1.95
2010-08-01,1.77
2010-09-01,2.44
2010-10-01,1.8
2010-11-01,1.62
2010-12-01,2.9
2011-01-01,2.01
2011-02-01,2.12
2011-03-01,2.09
2011-04-01,3.02
2011-05-01,0.46
2011-06-01,-0.04
2011-07-01,1.11
2011-08-01,0.07
2011-09-01,1.14
2011-10-01,0.91
2011-11-01,1.41
2011-12-01,2.45
2012-01-01,0.9
2012-02-01,0.22
2012-03-01,0.2
2012-04-01,-0.65
2012-05-01,-0.38
2012-06-01,-1.51
2012-07-01,-0.15
2012-08-01,-0.74
2012-09-01,0.22
2012-10-01,0.17
2012-11-01,0.33
2012-12-01,-0.77
2013-01-01,-0.1
2013-02-01,-0.47
2013-03-01,1.06
2013-04-01,0.01
2013-05-01,0.9
2013-06-01,1.45
2013-07-01,0.76
2013-08-01,-0.23
2013-09-01,0.41
2013-10-01,-0.34
2013-11-01,0.75
2013-12-01,-0.05
2014-01-01,1.19
2014-02-01,-0.32
2014-03-01,-1.7
2014-04-01,0.81
2014-05-01,0.72
2014-06-01,-0.46
2014-07-01,-0.26
2014-08-01,-1.42
2014-09-01,-0.66
2014-10-01,-0.86
2014-11-01,-0.96
2014-12-01,-0.66
2015-01-01,-0.87
2015-02-01,-0.04
2015-03-01,-1.4
2015-04-01,-0.27
2015-05-01,-1.04
2015-06-01,-1.72
2015-07-01,-1.41
2015-08-01,-2.15
2015-09-01,-1.65
2015-10-01,-1.91
2015-11-01,-0.63
2015-12-01,-1
2016-01-01,-2.12
2016-02-01,-2.09
2016-03-01,-0.75
2016-04-01,-2.61
2016-05-01,0.22
2016-06-01,0.44
2016-07-01,0.45
2016-08-01,0.4
2016-09-01,1.28
2016-10-01,-0.66
2016-11-01,-0.23
2016-12-01,0.19
2017-01-01,0.08
2017-02-01,-0.33
2017-03-01,0.41
2017-04-01,-0.75
2017-05-01,0.23
2017-06-01,-1.39
2017-07-01,0.85
2017-08-01,0.17
2017-09-01,0.62
2017-10-01,0.75
2017-11-01,0.94
2017-12-01,-0.27
2018-01-01,0.91
2018-02-01,-0.73
2018-03-01,1.03
2018-04-01,0.58
2018-05-01,0.56
2018-06-01,-0.74
2018-07-01,0.18
2018-08-01,-0.87
2018-09-01,-0.99
2018-10-01,0.27
2018-11-01,-0.08
2018-12-01,0.93
2019-01-01,-0.16
2019-02-01,-1.43
2019-03-01,-0.91
2019-04-01,-0.03
2019-05-01,-0.71
2019-06-01,-1.36
2019-07-01,-0.51
2019-08-01,-0.7
2019-09-01,-1.26
2019-10-01,-0.66
2019-11-01,-1.03
2019-12-01,-0.73
2020-01-01,0.01
2020-02-01,-0.31
2020-03-01,-0.75
2020-04-01,0.16
2020-05-01,0.71
2020-06-01,-1.36
2020-07-01,0.44
2020-08-01,0.85
2020-09-01,0.98
2020-10-01,0.27
2020-11-01,0.85
2020-12-01,1.76
2021-01-01,1.64
2021-02-01,1.02
2021-03-01,-0.2
2021-04-01,0.3
2021-05-01,0.49
2021-06-01,0.22
2021-07-01,1.61
2021-08-01,0.27
2021-09-01,0.86
2021-10-01,0.51
2021-11-01,1.12
2021-12-01,1.43
2022-01-01,0.34
2022-02-01,0.76
2022-03-01,1.35
2022-04-01,2.69
2022-05-01,1.9
2022-06-01,2.45
2022-07-01,0.91
2022-08-01,0.81
2022-09-01,1.73
2022-10-01,1.73
2022-11-01,0.31
2022-12-01,2.11
2023-01-01,1.14
2023-02-01,0.93
2023-03-01,-0.38
2023-04-01,-0.03
2023-05-01,-1.6
2023-06-01,-0.12
2023-07-01,-0.38
2023-08-01,-1.6
2023-09-01,-1.36
2023-10-01,-0.6
2023-11-01,-0.9
2023-12-01,-0.39
2024-01-01,0.31
2024-02-01,-1.47
2024-03-01,-0.2
2024-04-01,-0.69
2024-05-01,0.57
2024-06-01,-0.43
2024-07-01,-0.65
2024-08-01,0.59
2024-09-01,-0.12
2024-10-01,0.35
2024-11-01,0.61
2024-12-01,1.09
2025-01-01,0.26
2025-02-01,0.21
,
,
,
,
,
,
,
,
,
,